Year,Sex,Age,value,lower,upper
2000,Both,Age 10-19,0.66,0.19,1.31
2000,Female,Age 10-19,1.01,0.2,1.95
2000,Male,Age 10-19,0.32,0.06,0.84
2001,Both,Age 10-19,0.62,0.17,1.23
2001,Female,Age 10-19,0.95,0.19,1.83
2001,Male,Age 10-19,0.3,0.05,0.78
2002,Both,Age 10-19,0.58,0.16,1.15
2002,Female,Age 10-19,0.89,0.18,1.72
2002,Male,Age 10-19,0.28,0.05,0.74
2003,Both,Age 10-19,0.54,0.15,1.07
2003,Female,Age 10-19,0.83,0.16,1.6
2003,Male,Age 10-19,0.26,0.05,0.68
2004,Both,Age 10-19,0.5,0.14,1
2004,Female,Age 10-19,0.78,0.15,1.51
2004,Male,Age 10-19,0.24,0.04,0.63
2005,Both,Age 10-19,0.48,0.14,0.96
2005,Female,Age 10-19,0.75,0.15,1.44
2005,Male,Age 10-19,0.23,0.04,0.6
2006,Both,Age 10-19,0.46,0.13,0.92
2006,Female,Age 10-19,0.72,0.14,1.38
2006,Male,Age 10-19,0.22,0.04,0.57
2007,Both,Age 10-19,0.45,0.13,0.89
2007,Female,Age 10-19,0.7,0.14,1.35
2007,Male,Age 10-19,0.21,0.04,0.55
2008,Both,Age 10-19,0.44,0.12,0.87
2008,Female,Age 10-19,0.68,0.13,1.31
2008,Male,Age 10-19,0.2,0.04,0.53
2009,Both,Age 10-19,0.43,0.12,0.85
2009,Female,Age 10-19,0.67,0.13,1.29
2009,Male,Age 10-19,0.2,0.03,0.52
2010,Both,Age 10-19,0.42,0.12,0.83
2010,Female,Age 10-19,0.65,0.13,1.26
2010,Male,Age 10-19,0.19,0.03,0.5
2011,Both,Age 10-19,0.4,0.11,0.81
2011,Female,Age 10-19,0.64,0.13,1.23
2011,Male,Age 10-19,0.19,0.03,0.48
2012,Both,Age 10-19,0.39,0.11,0.78
2012,Female,Age 10-19,0.62,0.12,1.2
2012,Male,Age 10-19,0.18,0.03,0.47
2013,Both,Age 10-19,0.38,0.11,0.75
2013,Female,Age 10-19,0.6,0.12,1.15
2013,Male,Age 10-19,0.17,0.03,0.44
2014,Both,Age 10-19,0.36,0.1,0.72
2014,Female,Age 10-19,0.57,0.11,1.11
2014,Male,Age 10-19,0.16,0.03,0.42
2015,Both,Age 10-19,0.34,0.1,0.68
2015,Female,Age 10-19,0.55,0.11,1.05
2015,Male,Age 10-19,0.15,0.03,0.39
2016,Both,Age 10-19,0.32,0.09,0.65
2016,Female,Age 10-19,0.52,0.1,1
2016,Male,Age 10-19,0.14,0.02,0.37
2017,Both,Age 10-19,0.31,0.09,0.61
2017,Female,Age 10-19,0.49,0.1,0.95
2017,Male,Age 10-19,0.13,0.02,0.35
2018,Both,Age 10-19,0.29,0.08,0.57
2018,Female,Age 10-19,0.46,0.09,0.89
2018,Male,Age 10-19,0.13,0.02,0.33
2019,Both,Age 10-19,0.27,0.08,0.54
2019,Female,Age 10-19,0.44,0.09,0.84
2019,Male,Age 10-19,0.12,0.02,0.31
2020,Both,Age 10-19,0.25,0.07,0.5
2020,Female,Age 10-19,0.4,0.08,0.78
2020,Male,Age 10-19,0.11,0.02,0.29
